Product Category;Product Level 1;Prodcut Group;Product Family;Product Series
Controls;COMPONENTS;CONTROLS COMMUNICATION MODULES;GCM Bacnet;GCM Bacnet
Air Cooler;COLD;VARIO CUBIC;GACV;GACV AG
Air Cooler;COLD;COMPACT MINI;GAMC;GAMC CX
Air Cooler;COLD;COMPACT MINI;GAMC;GAMC FP
Air Cooler;COLD;COMPACT MINI;GAMC;GAMC RX
Air Cooler;COLD;COMPACT MINI;GAMC;GAMC PX
Dry Cooler;WARM;VARIO V-SHAPE;G*DV;GFDV FD
Condenser;WARM;VARIO V-SHAPE;G*DV;GCDV RD
Condenser;WARM;VARIO V-SHAPE;G*DV;GCDV AD
Gas Cooler;WARM;VARIO V-SHAPE;G*DV;GGDV CD
Air Cooler;COLD;VARIO CUBIC;GHN;AGHR
Air Cooler;COLD;VARIO CUBIC;GHN;GGHR
;COMPONENTS;CONTROLS MOTOR MANAGEMENT;aicore™ air (GMMnext);GMMnext sincon lite
;COMPONENTS;CONTROLS MOTOR MANAGEMENT;aicore™ air (GMMnext);GMMnext phase-cut lite
;COMPONENTS;CONTROLS MOTOR MANAGEMENT;aicore™ air (GMMnext);GMMnext RD
;COLD;COMPACT CUBIC;GACC;GACC WP
;COLD;COMPACT CUBIC;GACC;GACC PX
;COLD;COMPACT SLIM;GASC;GASC WP
;COLD;COMPACT SLIM;GASC;GASC PX
;WARM;VARIO V-SHAPE;GCDV;GCDV PD
;WARM;VARIO V-SHAPE;GFDV;GFDV WP
;WARM;VARIO V-SHAPE;GFDV;GFDV FP
;COMPONENTS;CONTROLS SYSTEM CONTROLLER;aicore™ fusion (GSCnext);aicore™ fusion (GSCnext EC)
;COMPONENTS;CONTROLS SYSTEM CONTROLLER;aicore™ fusion (GSCnext);aicore™ fusion (GSCnext)
;COMPONENTS;CONTROLS HYDRO MANAGEMENT;aicore™ hydro (GHMnext);aicore™ hydro (GHMnext PAD)
Controls;COMPONENTS;CONTROLS MOTOR MANAGEMENT;aicore™ air (GMMnext);aicore™ air (GMMnext EC)
Controls;COMPONENTS;CONTROLS MOTOR MANAGEMENT;aicore™ air (GMMnext);aicore™ air ec (GMMnext Rail)
;COLD;COMPACT SLIM;FAC;FAC
Air Cooler;COLD;APPLICATION AGRI;GACA;GACA FP
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCO MICROOX
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCO PUMP
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOB
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOF
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOG
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOH
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOK
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCON
Heat Exchanger / Coil;HEAT EXCHANGER;FINOOX GCO;GCO;GCOR
Others;OTHER;OTHER;ALFA LAVAL;ALFA LAVAL
Air Cooler;OTHER;OTHER;GMH;GMH
Air Cooler;OTHER;OTHER;GWH;GWH
Plug-In Refrigeration Unit;OTHER;OTHER;ICS;ICS
Plate Heat Exchanger;PLATE;PLATE ECO;THERMOECO;THERMOLINEECO
Plate Heat Exchanger;PLATE;PLATE PLUS;THERMOPLUS;THERMOLINEPLUS
Plate Heat Exchanger;PLATE;PLATE PURE;THERMOPURE;THERMOLINEPURE
Plate Heat Exchanger;PLATE;PLATE VARIO;THERMOVARIO;THERMOLINEVARIO
Waste Heat Unit;SYSTEME;SYSTEME;COND_UNIT;BCUC
Waste Heat Unit;SYSTEME;SYSTEME;COND_UNIT;GCUC
