TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC CX 040.1/1WN/DJA4A.TNNN;GACC CX;040.1/1WN/DJA4A.TNNN;n/a;finoox;247-1BBW.1H0.3V6.00NN-C26.01.0000.000;GACC CX 040.1D/14-ANW_.E;2367;A;1;1;1734;Axial;5,146;4,084;17,83;3117;1310;12;VT0605;0,204;0,85;D;51,5;73,04;1,9;;230V-1~-1.78kW;BG351035-00003;gacc1;1006;560;565;680;406;26,4;9,52;9,52;n/a;n/a;Inclusive;172;No;No;Yes;400;AC motor;50;W;;;201;;;;;;;;no;no;D;E;Aluminum;4;40;4;yes;piece;1
GACC CX 040.2/2WN/DJA4A.UANN;GACC CX;040.2/2WN/DJA4A.UANN;n/a;finoox;247-2LXU.1H0.3V7.S5PT-C26.00.0000.100;GACC CX 040.2D/24-ANW_.E;3853;A;2;1;1734;Axial;10,367;8,242;35,67;6233;1310;13;VT0605;0,408;0,85;D;54,23;76,05;3,7;;400V-3~N-3.7kW;BG351035-00010;gacc2;1686;560;565;1360;406;45,6;16;22,23;n/a;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;239;;;;;;;;no;no;D;E;Aluminum;4;20;4;yes;piece;1
GACC CX 040.2/2WN/FJA4E.TANN;GACC CX;040.2/2WN/FJA4E.TANN;n/a;finoox;247-2LY3.1H0.3VA.S5PT-C26.01.0800.100;GACC CX 040.2F/24-ENW_.E;4991;E;2;1;1734;Axial;11,918;9,435;53,5;5772;1310;12;VT0605;0,416;0,85;C;54,23;76,05;5,5;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;57,9;16;22,23;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;E;Aluminum;4;30;6;yes;piece;1
GACC CX 040.2/2WN/FJA4E.UANN;GACC CX;040.2/2WN/FJA4E.UANN;n/a;finoox;247-2LY3.1H0.3VA.S5PT-C26.00.0800.100;GACC CX 040.2F/24-ENW_.E;4790;E;2;1;1734;Axial;11,918;9,435;53,5;5772;1310;12;VT0605;0,416;0,85;C;54,23;76,05;5,5;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;57,9;16;22,23;n/a;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;E;Aluminum;4;30;6;yes;piece;1
GACC CX 040.2/2WN/HJA4A.UANN;GACC CX;040.2/2WN/HJA4A.UANN;n/a;finoox;247-2LYE.1H0.3VJ.S5Q0-C26.00.0000.100;GACC CX 040.2H/24-ANW_.E;4678;A;2;1;1734;Axial;14,173;11,497;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;n/a;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Aluminum;4;20;8;yes;piece;1
GACC CX 040.2/2WN/HJA4A.TNNN;GACC CX;040.2/2WN/HJA4A.TNNN;n/a;finoox;247-2LYE.1H0.3VJ.S5Q0-C26.01.0000.000;GACC CX 040.2H/24-ANW_.E;4535;A;2;1;1734;Axial;14,173;11,497;71,34;5325;1310;11;VT0605;0,42;0,85;C;54,23;76,05;7,3;;400V-3~N-6.2kW;BG351035-00012;gacc2;1686;560;565;1360;406;62,5;16;22,23;n/a;n/a;Inclusive;344;No;No;Yes;400;AC motor;50;W;;;321;;;;;;;;no;no;H;E;Aluminum;4;20;8;yes;piece;1
GACC CX 040.2/2WN/DJA4E.UNNN;GACC CX;040.2/2WN/DJA4E.UNNN;n/a;finoox;247-2LXV.1H0.3V7.S5PT-C26.00.0800.000;GACC CX 040.2D/24-ENW_.E;3831;E;2;1;1734;Axial;10,367;8,242;35,67;6233;1310;13;VT0605;0,408;0,85;D;54,23;76,05;3,7;400V-3~N-3.7kW;;;gacc2;1686;560;565;1360;406;48,7;16;22,23;n/a;n/a;201;344;No;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00010.1;2;100;1580;1;200;1560;no;no;D;E;Aluminum;4;20;4;yes;piece;1
GACC CX 040.2/2WN/HJA7E.TANN;GACC CX;040.2/2WN/HJA7E.TANN;n/a;finoox;247-2LYD.1H0.3VJ.S5Q0-C26.01.0800.100;GACC CX 040.2H/27-ENW_.E;4858;E;2;1;1734;Axial;12,375;10,027;42,18;6176;1310;13;VT0605;0,409;0,85;B;54,23;76,05;7,3;400V-3~N-6.2kW;;;gacc2;1686;560;565;1360;406;66,7;16;22,23;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00012.1;4;100;1580;1;200;1560;no;no;H;E;Aluminum;7;20;8;yes;piece;1
GACC CX 040.2/4WN/FJA7A.TNNN;GACC CX;040.2/4WN/FJA7A.TNNN;n/a;finoox;247-2M04.1H0.3VC.SGQ6-C26.01.0000.000;GACC CX 040.2F/47-ANW_.E;6760;A;4;1;1734;Axial;20,788;16,719;63,27;12910;1310;16;VT0605;0,805;0,85;C;56,74;79,06;10,6;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;97,5;16;22,23;n/a;n/a;Inclusive;688;No;No;Yes;400;AC motor;50;W;;;458;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GACC CX 040.2/4WN/FJA7A.UNNN;GACC CX;040.2/4WN/FJA7A.UNNN;n/a;finoox;247-2M04.1H0.3VC.SGQ6-C26.00.0000.000;GACC CX 040.2F/47-ANW_.E;6380;A;4;1;1734;Axial;20,788;16,719;63,27;12910;1310;16;VT0605;0,805;0,85;C;56,74;79,06;10,6;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;97,5;16;22,23;n/a;n/a;380;688;No;No;No;400;AC motor;50;W;;;458;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
