TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC PX 040.1/2WN/HJE4A.TNNN;GACC PX;040.1/2WN/HJE4A.TNNN;n/a;finoox;247-1BGE.1H0.3XZ.SJ61-P13.01.0000.000;GACC PX 040.1H/24-ANW_.E_Epoxy;4094;A;2;1;1734;Axial;12,083;9,807;13,15;11,074;65,43;5353;1310;11;VT0605;0,42;0,85;;54,23;76,05;13,2;;;;gacc2;1686;560;565;1360;406;60,1;22;35;Inclusive;n/a;Inclusive;344;No;No;Yes;400;AC motor;50;W;;;;;;;;;;;no;no;H;F;Epoxy coated aluminum;4;8;8;yes;piece;1
GACC PX 040.1/2WN/HJE4E.UANN;GACC PX;040.1/2WN/HJE4E.UANN;n/a;finoox;247-1BGF.1H0.3XZ.SJ61-P13.00.0800.100;GACC PX 040.1H/24-ENW_.E_Epoxy;5691;E;2;1;1734;Axial;12,083;9,807;13,15;11,074;65,43;5353;1310;11;VT0605;0,42;0,85;;54,23;76,05;13,2;400V 3Ph+N 50/60Hz - 4,4kW;;;gacc2;1686;560;565;1360;406;65,8;22;35;Inclusive;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BC15600363230;H01AB15600385230;;AY7.004827.1;9;100;1560;3;50;1560;no;no;H;F;Epoxy coated aluminum;4;8;8;yes;piece;1
GACC PX 040.1/1WN/HJE7A.UANN;GACC PX;040.1/1WN/HJE7A.UANN;n/a;finoox;247-1BCQ.1H0.3Y1.RZTF-P13.00.0000.100;GACC PX 040.1H/17-ANW_.E_Epoxy;2414;A;1;1;1734;Axial;5,295;4,278;5,816;4,811;19,58;3062;1310;12;VT0605;0,205;0,85;;51,5;73,04;6,9;;;;gacc1;1006;560;565;680;406;33,8;16;28;Inclusive;n/a;138;Inclusive;Yes;No;No;400;AC motor;50;W;;;;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC PX 040.1/1WN/HJA7A.TNNN;GACC PX;040.1/1WN/HJA7A.TNNN;n/a;finoox;247-1BCN.1H0.3Y1.RZTF-P13.01.0000.000;GACC PX 040.1H/17-ANW_.E;2175;A;1;1;1734;Axial;5,351;4,316;5,863;4,844;19,58;3062;1310;12;VT0605;0,205;0,85;;51,5;73,04;6,9;;;;gacc1;1006;560;565;680;406;33,8;16;28;n/a;n/a;Inclusive;172;No;No;Yes;400;AC motor;50;W;;;;;;;;;;;no;no;H;F;Aluminum;7;16;8;yes;piece;1
GACC PX 040.1/1WN/HJA7E.UNNN;GACC PX;040.1/1WN/HJA7E.UNNN;n/a;finoox;247-1BCP.1H0.3Y1.RZTF-P13.00.0800.000;GACC PX 040.1H/17-ENW_.E;3309;E;1;1;1734;Axial;5,351;4,316;5,863;4,844;19,58;3062;1310;12;VT0605;0,205;0,85;;51,5;73,04;6,9;2x230V 1PH+N 50/60Hz - 2,5kW;;;gacc1;1006;560;565;680;406;37,1;16;28;n/a;n/a;138;172;No;Yes;No;400;AC motor;50;W;H04BC08800200230;H01AB08800220230;;AY7.004714.1;9;100;880;3;50;880;no;no;H;F;Aluminum;7;16;8;yes;piece;1
GACC PX 040.1/4WN/FJA7A.UANN;GACC PX;040.1/4WN/FJA7A.UANN;n/a;finoox;247-1BK0.1H0.3XR.SJ7P-P13.00.0000.100;GACC PX 040.1F/47-ANW_.E;5524;A;4;1;1734;Axial;17,702;14,192;19,345;15,918;58,74;12859;1310;16;VT0605;0,806;0,85;;56,74;79,06;19,5;;;;gacc4a;3046;560;565;680;406;94,5;22;42;n/a;n/a;380;Inclusive;Yes;No;No;400;AC motor;50;W;;;;;;;;;;;no;no;F;F;Aluminum;7;4;6;yes;piece;1
GACC PX 040.1/3WN/HJA7A.UANN;GACC PX;040.1/3WN/HJA7A.UANN;n/a;finoox;247-1BJN.1H0.3XZ.SJ5H-P13.00.0000.100;GACC PX 040.1H/37-ANW_.E;4700;A;3;1;1734;Axial;16,278;12,45;17,394;13,654;58,74;9187;1310;14;VT0605;0,615;0,85;;55,73;77,81;19,2;;;;gacc3a;2366;560;565;680;406;83,4;22;35;n/a;n/a;279;Inclusive;Yes;No;No;400;AC motor;50;W;;;;;;;;;;;no;no;H;F;Aluminum;7;8;8;yes;piece;1
GACC PX 040.1/2WN/HJA7E.UANN;GACC PX;040.1/2WN/HJA7E.UANN;n/a;finoox;247-1BGD.1H0.3XZ.SJ5R-P13.00.0800.100;GACC PX 040.1H/27-ENW_.E;4490;E;2;1;1734;Axial;10,715;8,671;11,747;9,73;39,16;6125;1310;13;VT0605;0,41;0,85;;54,23;76,05;13,2;400V 3Ph+N 50/60Hz - 4,4kW;;;gacc2;1686;560;565;1360;406;65;22;35;n/a;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BC15600363230;H01AB15600385230;;AY7.004827.1;9;100;1560;3;50;1560;no;no;H;F;Aluminum;7;8;8;yes;piece;1
GACC PX 040.1/3WN/HJA7E.UANN;GACC PX;040.1/3WN/HJA7E.UANN;n/a;finoox;247-1BJP.1H0.3XZ.SJ5H-P13.00.0800.100;GACC PX 040.1H/37-ENW_.E;6932;E;3;1;1734;Axial;16,278;12,45;17,394;13,654;58,74;9187;1310;14;VT0605;0,615;0,85;;55,73;77,81;19,2;1x400V 3Ph+N 50/60Hz / 1x230V 1Ph+N 50/60Hz - 6,3kW;;;gacc3a;2366;560;565;680;406;90,8;22;35;n/a;n/a;279;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BC22400526230;H01AB22400546230;;AY7.004832.1;9;100;2240;3;50;2240;no;no;H;F;Aluminum;7;8;8;yes;piece;1
GACC PX 040.1/2WN/HJC4A.UNNN;GACC PX;040.1/2WN/HJC4A.UNNN;n/a;finoox;247-1BGJ.1H0.3XZ.SJ61-P13.00.0000.000;GACC PX 040.1H/24-ANW_.E_PC;4200;A;2;1;1734;Axial;10,904;8,846;12,017;9,984;67,94;5353;1310;11;VT0605;0,42;0,85;;54,23;76,05;13,2;;;;gacc2;1686;560;565;1360;406;60,1;22;35;n/a;Inclusive;201;344;No;No;No;400;AC motor;50;W;;;;;;;;;;;no;no;H;F;Powder coated;4;8;8;yes;piece;1
