TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE STREAMER;STREAMER;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GACC RX 040.1/2WN/DJE4A.UANN;GACC RX;040.1/2WN/DJE4A.UANN;n/a;finoox;247-1BF8.1H0.3V9.S5NX-R23.00.0000.100;GACC RX 040.1D/24-ANW_.E_Epoxy;3507;A;2;1;1734;Axial;8,345;6,019;8,74;6,864;8,952;6,774;8,444;6,62;8,115;6,28;8,148;5,874;32,72;6331;1310;13;VT0605;0,405;0,85;D;54,23;76,05;6,7;;400V-3~N-3.7kW;BG351035-00010;gacc2;1686;560;565;1360;406;44,4;16;28;Inclusive;n/a;201;Inclusive;Yes;No;No;400;AC motor;50;W;;;239;;;;;;;;no;no;D;F;Epoxy coated aluminum;4;8;4;yes;piece;1
GACC RX 040.1/2WN/DJE4E.UANN;GACC RX;040.1/2WN/DJE4E.UANN;n/a;finoox;247-1BF9.1H0.3V9.S5NX-R23.00.0800.100;GACC RX 040.1D/24-ENW_.E_Epoxy;3829;E;2;1;1734;Axial;8,345;6,019;8,74;6,864;8,952;6,774;8,444;6,62;8,115;6,28;8,148;5,874;32,72;6331;1310;13;VT0605;0,405;0,85;D;54,23;76,05;6,7;400V-3~N-3.7kW;;;gacc2;1686;560;565;1360;406;47,4;16;28;Inclusive;n/a;201;Inclusive;Yes;Yes;No;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00010.1;2;100;1580;1;200;1560;no;no;D;F;Epoxy coated aluminum;4;8;4;yes;piece;1
GACC RX 040.1/2WN/FJE4E.TNNN;GACC RX;040.1/2WN/FJE4E.TNNN;n/a;finoox;247-1BFR.1H0.3VE.SJ5Z-R23.01.0800.000;GACC RX 040.1F/24-ENW_.E_Epoxy;4187;E;2;1;1734;Axial;11,457;8,688;11,28;9,24;11,859;9,271;10,968;8,96;10,432;8,423;10,989;8,727;49,07;5817;1310;12;VT0605;0,415;0,85;C;54,23;76,05;10,1;400V-3~N-4.95kW;;;gacc2;1686;560;565;1360;406;56,6;22;35;Inclusive;n/a;Inclusive;344;No;Yes;Yes;400;AC motor;50;W;H04BB15801250230;H01CB15601200230;;BG351035-00011.1;3;100;1580;1;200;1560;no;no;F;F;Epoxy coated aluminum;4;6;6;yes;piece;1
GACC RX 040.1/1WN/HJE7A.UNNN;GACC RX;040.1/1WN/HJE7A.UNNN;n/a;finoox;247-1BCQ.1H0.3VM.RZTF-R23.00.0000.000;GACC RX 040.1H/17-ANW_.E_Epoxy;2242;A;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;;230V-1~-2.86kW;BG351035-00005;gacc1;1006;560;565;680;406;33,8;16;28;Inclusive;n/a;138;172;No;No;No;400;AC motor;50;W;;;260;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/HJE7E.TANN;GACC RX;040.1/1WN/HJE7E.TANN;n/a;finoox;247-1BCR.1H0.3VM.RZTF-R23.01.0800.100;GACC RX 040.1H/17-ENW_.E_Epoxy;2934;E;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/1WN/HJE7E.TNNN;GACC RX;040.1/1WN/HJE7E.TNNN;n/a;finoox;247-1BCR.1H0.3VM.RZTF-R23.01.0800.000;GACC RX 040.1H/17-ENW_.E_Epoxy;2762;E;1;1;1734;Axial;5,526;4,156;5,577;4,531;5,733;4,426;5,391;4,36;5,188;4,154;5,384;4,158;19,58;3062;1310;12;VT0605;0,205;0,85;C;51,5;73,04;6,9;230V-1~-2.86kW;;;gacc1;1006;560;565;680;406;36,7;16;28;Inclusive;n/a;Inclusive;172;No;Yes;Yes;400;AC motor;50;W;H04BB08800540230;H01CB08800700230;;BG351035-00005.1;4;100;880;1;200;880;no;no;H;F;Epoxy coated aluminum;7;16;8;yes;piece;1
GACC RX 040.1/4WN/FJE7A.TANN;GACC RX;040.1/4WN/FJE7A.TANN;n/a;finoox;247-1BK2.1H0.3VF.SJ7P-R23.01.0000.100;GACC RX 040.1F/47-ANW_.E_Epoxy;6453;A;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;;400V-3~N-9.1kW;BG351035-00019;gacc4a;3046;560;565;680;406;94,5;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;458;;;;;;;;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/FJE7E.TANN;GACC RX;040.1/4WN/FJE7E.TANN;n/a;finoox;247-1BK3.1H0.3VF.SJ7P-R23.01.0800.100;GACC RX 040.1F/47-ENW_.E_Epoxy;6938;E;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;101,5;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/FJE7E.TNNN;GACC RX;040.1/4WN/FJE7E.TNNN;n/a;finoox;247-1BK3.1H0.3VF.SJ7P-R23.01.0800.000;GACC RX 040.1F/47-ENW_.E_Epoxy;6250;E;4;1;1734;Axial;18,158;13,61;18,414;14,852;18,929;14,604;17,764;14,284;17,082;13,612;17,736;13,697;58,74;12859;1310;16;VT0605;0,806;0,85;C;56,74;79,06;19,5;400V-3~N-9.1kW;;;gacc4a;3046;560;565;680;406;101,5;22;42;Inclusive;n/a;Inclusive;688;No;Yes;Yes;400;AC motor;50;W;H04BB29002300230;H01CB29202200230;;BG351035-00019.1;3;100;2900;1;200;2920;no;no;F;F;Epoxy coated aluminum;7;4;6;yes;piece;1
GACC RX 040.1/4WN/HJE7A.TANN;GACC RX;040.1/4WN/HJE7A.TANN;n/a;finoox;247-1BKE.1H0.3VU.SJ9D-R23.01.0000.100;GACC RX 040.1H/47-ANW_.E_Epoxy;7302;A;4;1;1734;Axial;22,218;16,808;22,36;18,222;22,987;17,802;21,613;17,523;20,819;16,705;21,651;16,863;78,31;12250;1310;15;VT0605;0,82;0,85;C;56,74;79,06;25,7;;400V-3~N-11.4kW;BG351035-00020;gacc4a;3046;560;565;680;406;109,3;22;42;Inclusive;n/a;Inclusive;Inclusive;Yes;No;Yes;400;AC motor;50;W;;;525;;;;;;;;no;no;H;F;Epoxy coated aluminum;7;4;8;yes;piece;1
