TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC RX 035.1/11E/DDA4A.TNNN;GADC RX;035.1/11E/DDA4A.TNNN;n/a;finoox;203-1A7N.2HK.1HB.RJVQ-R23.01.0000.000;GADC RX 035.1-04_1-04-AE51-CC-E32AX-2909_Alu;2646;A;1;1;2909;Axial;1,724;1,191;1,803;1,441;1,946;1,482;1,844;1,472;1,76;1,384;1,676;1,193;14,27;884;535;4;VT03192U.1;0,022;0,18;A+;21,61;43,14;1,7;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;33,2;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;411;;;;;;;;no;no;C;E;Aluminum;4;16;4;yes;piece;1
GADC RX 035.1/21E/HEA4A.TNNN;GADC RX;035.1/21E/HEA4A.TNNN;n/a;finoox;203-1AAY.2HK.1HW.RJTM-R23.01.0000.000;GADC RX 035.1-08_2-04-AE51-CL-E32AX-2909_Alu;4675;A;2;1;2909;Axial;4,889;3,821;5,087;4,257;5,216;4,173;5,057;4,173;4,862;4,025;4,873;3,834;71,34;1743;535;5;VT03192U.1;0,043;0,18;A+;23,99;45,83;8,4;;400V 3~+N+PE - 6,2kW;AY7.002389;DualCompact_2_04_1_o;1776;1026;318;1296;963;71,8;16;28;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;630;;;;;;;;no;no;L;E;Aluminum;4;8;8;yes;piece;1
GADC RX 035.1/41E/HEA4E.TNPN;GADC RX;035.1/41E/HEA4E.TNPN;n/a;finoox;203-1AF7.2HK.1JK.SJ4L-R23.01.0800.010;GADC RX 035.1-08_4-04-EE51-CL-E32AX-2909_Alu;9043;E;4;1;2909;Axial;9,791;7,67;10,179;8,528;10,438;8,36;10,119;8,359;9,73;8,065;9,76;7,699;142,67;3486;535;6;VT03192U.1;0,087;0,18;A+;26,5;48,84;16,5;(2x) 400V 3~N+PE - 11,8kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;142,7;22;42;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002379;8;0;2968;2;150;2940;no;no;L;E;Aluminum;4;4;8;yes;piece;1
GADC RX 035.1/21E/FDE4A.TNNN;GADC RX;035.1/21E/FDE4A.TNNN;n/a;finoox;203-1AHS.2HK.1H8.RJT7-R23.01.0000.000;GADC RX 035.1-06_2-04-AE51-CC-E32AX-2909_Epoxy;4231;A;2;1;2909;Axial;4,055;3,131;4,191;3,521;4,406;3,52;4,235;3,504;4,039;3,368;4,042;3,158;42,8;1638;535;5;VT03192U.1;0,044;0,18;A+;22,88;44,68;5,2;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;57,9;16;28;Inclusive;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;6;6;yes;piece;1
GADC RX 035.1/41E/FDE7E.TNNN;GADC RX;035.1/41E/FDE7E.TNNN;n/a;finoox;203-1ANK.2HK.1H9.RJWQ-R23.01.0800.000;GADC RX 035.1-06_4-07-EE51-CC-E32AX-2909_Epoxy;7726;E;4;1;2909;Axial;7,301;5,523;7,551;6,337;8,096;6,389;7,708;6,379;7,391;6,096;7,279;5,581;50,62;3754;535;8;VT03192U.1;0,086;0,18;A+;28,22;50,52;9,9;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;111,1;22;28;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Epoxy coated aluminum;7;4;6;yes;piece;1
GADC RX 035.1/41E/DEC7A.TNNN;GADC RX;035.1/41E/DEC7A.TNNN;n/a;finoox;203-1AXA.2HK.1HM.RJPY-R23.01.0000.000;GADC RX 035.1-04_4-07-AE51-CL-E32AX-2909_PC;8081;A;4;1;2909;Axial;6,212;4,612;6,414;5,34;6,952;5,437;6,583;5,429;6,305;5,156;6,144;4,665;42,18;4252;535;8;VT03192U.1;0,084;0,18;A+;30,52;52,86;8,4;;400V 3~N+PE - 7,5kW;AY7.002383;DualCompact_4_08_1_o;3136;1026;318;;963;104,1;22;28;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;593;;;;;;;;no;no;L;E;Powder coated;7;4;4;yes;piece;1
GADC RX 035.1/21E/DEC4A.TNNN;GADC RX;035.1/21E/DEC4A.TNNN;n/a;finoox;203-1ASW.2HK.1HL.RJW5-R23.01.0000.000;GADC RX 035.1-04_2-04-AE51-CL-E32AX-2909_PC;5230;A;2;1;2909;Axial;3,621;2,682;3,669;3,068;4,02;3,15;3,706;3,14;3,557;2,954;3,557;2,711;35,67;1968;535;5;VT03192U.1;0,043;0,18;A+;26,75;48,59;4,5;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;59,7;16;22;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;L;E;Powder coated;4;6;4;yes;piece;1
GADC RX 035.2/1WN/FDA4A.TNPN;GADC RX;035.2/1WN/FDA4A.TNPN;n/a;finoox;203-1A7Q.2PV.1HK.RJW4-R23.01.0000.010;GADC RX 035.2-06_1-04-A0W-CC-E32AX-3123_Alu;2978;A;1;1;3123;Axial;3,727;2,771;3,699;3,186;4,216;3,337;3,891;3,304;3,668;3,057;3,701;2,824;21,4;1942;1340;8;VT03207;0,163;0,73;D;52,98;74,51;2,9;;230V 1~N+PE - 2,2kW;AY7.002380;DualCompact_1_04_1_o;1096;1026;268;616;963;39,5;16;22;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;411;;;;;;;;no;no;C;E;Aluminum;4;8;6;yes;piece;1
GADC RX 035.2/1WN/HEA4A.TNNN;GADC RX;035.2/1WN/HEA4A.TNNN;n/a;finoox;203-1A8U.2PV.1HV.RJWB-R23.01.0000.000;GADC RX 035.2-08_1-04-A0W-CL-E32AX-3123_Alu;3045;A;1;1;3123;Axial;4,829;3,638;4,917;4,161;5,34;4,229;5,015;4,21;4,751;3,998;4,802;3,678;35,67;2065;1340;8;VT03207;0,16;0,73;C;52,94;74,51;4,6;;230/400V+N+PE - 3,3kW;AY7.002388;DualCompact_1_04_1_o;1096;1026;318;616;963;47,5;16;28;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;611;;;;;;;;no;no;L;E;Aluminum;4;10;8;yes;piece;1
GADC RX 035.2/1WN/HDA7A.TNNN;GADC RX;035.2/1WN/HDA7A.TNNN;n/a;finoox;203-1A78.2PV.1H6.RJW3-R23.01.0000.000;GADC RX 035.2-08_1-07-A0W-CC-E32AX-3123_Alu;2865;A;1;1;3123;Axial;3,737;2,825;3,834;3,242;4,186;3,31;3,965;3,298;3,794;3,144;3,723;2,885;16,87;2068;1340;9;VT03207;0,16;0,73;C;52,98;74,51;3,7;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;268;616;963;41,6;16;22;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;50;W;;;545;;;;;;;;no;no;C;E;Aluminum;7;10;8;yes;piece;1
