TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC CX 031.2/3XN/DFA4E.TNNN;GASC CX;031.2/3XN/DFA4E.TNNN;n/a;finoox;251-2LUP.245.3UC.SGPU-C26.01.0800.000;GASC CX 031.2C/34-ENX_.E;3423;E;3;1;2453;Axial;8,818;7,043;32,1;4955;1390;19;VT03159U;0,408;0,55;D;47,54;69,42;3,3;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;43,4;16;22,23;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Aluminum;4;12;4;yes;piece;1
GASC CX 031.1/3WN/FFC7E.TNNN;GASC CX;031.1/3WN/FFC7E.TNNN;n/a;finoox;251-1B55.246.3UL.S5PT-C26.01.0800.000;GASC CX 031.1D/37-ENW_.E_PC;4212;E;3;1;2454;Axial;7,871;6,334;28,47;4916;1300;19;VT03159U;0,303;0,42;C;46,61;68,49;4,9;400V 3~N - 4.05kW;;;GASC3;2324;580;337;2040;552;51,7;16;22,23;n/a;Inclusive;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001479.1;2;100;2230;1;75;2280;no;no;F;E;Powder coated;7;18;6;yes;piece;1
GASC CX 031.1/1WM/DDA7A.TNNN;GASC CX;031.1/1WM/DDA7A.TNNN;n/a;finoox;251-1AZY.247.3UF.00NN-C26.01.0000.000;GASC CX 031.1A/17-ALW_.E;1141;A;1;1;2455;Axial;1,183;0,996;4,22;866;900;7;VT03159U;0,09;0,38;D;38,79;60,05;0,8;;230V 1~ - 0.95kW;AY7.001474;GASC1;964;580;234;680;552;13,9;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;137;;;;;;;;no;no;D;E;Aluminum;7;16;4;yes;piece;1
GASC CX 030.1/11N/DFC7E.TNNN;GASC CX;030.1/11N/DFC7E.TNNN;n/a;finoox;251-1HWE.345.3UN.00NN-C26.01.0800.000;GASC CX 030.1C/17-EN1_.E_PC;1902;E;1;1;3609;Axial;1,998;1,626;6,33;1773;1760;12;VT06103;0,096;0,76;C;43,7;65,04;1,1;230V 1~ - 0.95kW;;;GASC1;964;580;337;680;552;17,1;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;300;EC motor;5060;1;H04BA08550600230;H02LA08900350230;;AY7.001474.1;1;100;855;1;75;890;no;no;D;E;Powder coated;7;24;4;yes;piece;1
GASC CX 020.1/31N/FDE7E.TNNN;GASC CX;020.1/31N/FDE7E.TNNN;n/a;finoox;251-1CNM.0YE.3UJ.00NN-C26.01.0800.000;GASC CX 020.1B/37-EN1_.E_Epoxy;2268;E;3;1;1102;Axial;2,953;2,386;11,17;1606;2000;10;VT03033U;0,107;0,26;C;48,64;70,11;1,9;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;25,2;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC CX 031.2/3WN/DFE7E.TNNN;GASC CX;031.2/3WN/DFE7E.TNNN;n/a;finoox;251-2LV1.246.3UN.00NN-C26.01.0800.000;GASC CX 031.2C/37-ENW_.E_Epoxy;3752;E;3;1;2454;Axial;5,837;4,593;18,98;5183;1300;20;VT03159U;0,3;0,42;D;46,64;68,52;3,2;230V 1~ - 2.45kW;;;GASC3;2324;580;337;2040;552;42,6;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;50;W;H04BB22301600230;H02LA22800850230;;AY7.001478.1;1;100;2230;1;75;2280;no;no;D;E;Epoxy coated aluminum;7;24;4;yes;piece;1
GASC CX 031.2/2XN/DFE4A.TNNN;GASC CX;031.2/2XN/DFE4A.TNNN;n/a;finoox;251-2LTP.245.3UN.00NN-C26.01.0000.000;GASC CX 031.2C/24-ANX_.E_Epoxy;2342;A;2;1;2453;Axial;5,559;4,404;21,4;3304;1390;16;VT03159U;0,272;0,55;D;46,04;67,66;2,1;;230V 1~ - 1.8kW;AY7.001476;GASC2;1644;580;337;1360;552;27,5;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;203;;;;;;;;no;no;D;E;Epoxy coated aluminum;4;24;4;yes;piece;1
GASC CX 031.2/2WN/FFE7A.TNNN;GASC CX;031.2/2WN/FFE7A.TNNN;n/a;finoox;251-2LU9.246.3UM.00NN-C26.01.0000.000;GASC CX 031.2D/27-ANW_.E_Epoxy;2719;A;2;1;2454;Axial;5,235;4,157;18,98;3277;1300;16;VT03159U;0,202;0,42;C;45,11;66,73;3,2;;230V 1~ - 3kW;AY7.001477;GASC2;1644;580;337;1360;552;32,3;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;50;W;;;235;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;36;6;yes;piece;1
GASC CX 031.1/11M/FFA4A.TNNN;GASC CX;031.1/11M/FFA4A.TNNN;n/a;finoox;251-1B1G.24H.3UM.00NN-C26.01.0000.000;GASC CX 031.1D/14-AL1_.E;1523;A;1;1;2465;Axial;2,722;2,218;16,05;1056;1000;7;VT03190;0,036;0,3;A;34,32;55,66;1,7;;230V 1~ - 1.55kW;AY7.001475;GASC1;964;580;337;680;552;17,6;9,52;9,52;n/a;n/a;Inclusive;No;Yes;315;EC motor;5060;1;;;171;;;;;;;;no;no;F;E;Aluminum;4;36;6;yes;piece;1
GASC CX 020.1/11N/DDA4A.TNNN;GASC CX;020.1/11N/DDA4A.TNNN;n/a;finoox;251-1AYN.0YE.3UF.00NN-C26.01.0000.000;GASC CX 020.1A/14-AN1_.E;802;A;1;1;1102;Axial;0,949;0,81;4,2;512;2000;6;VT03033U;0,035;0,26;C;44,48;65,61;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8,6;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
