TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R454C SC2);DX Evap (R454C SC3);DX Evap (R455A SC2);DX Evap (R455A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC PX 020.1/31N/DDA4A.TNNN;GASC PX;020.1/31N/DDA4A.TNNN;n/a;finoox;251-1CLW.0YE.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/34-AN1_.E;1350;A;3;1;1102;Axial;1,894;1,135;2,053;1,736;12,59;1536;2000;10;VT03033U;0,105;0,26;;48,91;70,38;1,4;;;;GASC3;1484;580;234;1200;552;19,2;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC PX 020.1/11N/FDA4A.TNNN;GASC PX;020.1/11N/FDA4A.TNNN;n/a;finoox;251-1AZA.0YE.3X6.00NN-P13.01.0000.000;GASC PX 020.1B/14-AN1_.E;710;A;1;1;1102;Axial;1,068;0,818;1,178;0,916;6,29;476;2000;5;VT03033U;0,035;0,26;;44,99;66,12;0,8;;;;GASC1;684;580;234;400;552;8,8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Aluminum;4;24;6;yes;piece;1
GASC PX 020.1/21N/DDA7A.TNNN;GASC PX;020.1/21N/DDA7A.TNNN;n/a;finoox;251-1CJL.0YE.3X0.00NN-P13.01.0000.000;GASC PX 020.1A/27-AN1_.E;1009;A;2;1;1102;Axial;1,395;0,971;1,509;1,069;4,96;1123;2000;9;VT03033U;0,072;0,26;;46,81;68,11;1;;;;GASC2;1084;580;234;800;552;13,7;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;16;4;yes;piece;1
GASC PX 020.1/11M/DDC7E.TNNN;GASC PX;020.1/11M/DDC7E.TNNN;n/a;finoox;251-1AZ3.0YF.3X0.00NN-P13.01.0800.000;GASC PX 020.1A/17-EL1_.E_PC;1288;E;1;1;1103;Axial;0,607;0,507;0,677;0,569;2,48;440;1500;5;VT03033U;0,021;0,16;;40,19;61,32;0,5;230V 1~ - 0.5kW;;;GASC1;684;580;234;400;552;9;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC06000133230;H03GA06100073230;;AY7.004696.1;2;100;600;3;0;610;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC PX 020.1/21M/DDC7E.TNNN;GASC PX;020.1/21M/DDC7E.TNNN;n/a;finoox;251-1CKH.0YF.3X0.00NN-P13.01.0800.000;GASC PX 020.1A/27-EL1_.E_PC;1886;E;2;1;1103;Axial;1,158;0,834;1,255;0,921;4,96;879;1500;7;VT03033U;0,041;0,16;;43,03;64,33;1;230V 1~ - 0.8kW;;;GASC2;1084;580;234;800;552;14,8;9,52;9,52;n/a;Inclusive;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BC10000230230;H03GA10100120230;;AY7.004697.1;2;100;1000;3;0;1010;no;no;D;E;Powder coated;7;16;4;yes;piece;1
GASC PX 031.1/1XN/FFA7E.TNNN;GASC PX;031.1/1XN/FFA7E.TNNN;n/a;finoox;251-1B1B.245.3X9.S5QW-P13.01.0800.000;GASC PX 031.1D/17-ENX_.E;1758;E;1;1;2453;Axial;2,85;2,24;3,113;2,487;9,49;1731;1390;12;VT03159U;0,136;0,55;;43,48;64,82;2;230V 1~ - 1.1kW;;;GASC1;964;580;337;680;552;18,3;16;18;n/a;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC08800200230;H03GA08900107230;;AY7.004704.1;4;100;880;3;0;890;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC PX 031.1/3XN/DFA7A.TNNN;GASC PX;031.1/3XN/DFA7A.TNNN;n/a;finoox;251-1B3S.245.3X2.S5QZ-P13.01.0000.000;GASC PX 031.1C/37-ANX_.E;2429;A;3;1;2453;Axial;6,516;5,034;7,099;5,579;18,98;5498;1390;21;VT03159U;0,406;0,55;;48,03;69,91;3,8;;;;GASC3;2324;580;337;2040;552;36,3;16;22;n/a;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC PX 031.1/2XN/DFE4E.TNNN;GASC PX;031.1/2XN/DFE4E.TNNN;n/a;finoox;251-1B2M.245.3WW.S5QX-P13.01.0800.000;GASC PX 031.1C/24-ENX_.E_Epoxy;2730;E;2;1;2453;Axial;5,144;3,897;5,699;4,378;21,4;3304;1390;16;VT03159U;0,272;0,55;;46,04;67,66;2,5;230V 1~ - 1.7kW;;;GASC2;1644;580;337;1360;552;27,3;16;18;Inclusive;n/a;Inclusive;Yes;Yes;315;AC motor;60;X;H04BC15600363230;H03GA15700190230;;AY7.004705.1;3;100;1560;3;0;1570;no;no;D;E;Epoxy coated aluminum;4;6;4;yes;piece;1
GASC PX 031.1/2XN/FFE7A.TNNN;GASC PX;031.1/2XN/FFE7A.TNNN;n/a;finoox;251-1B3J.245.3X8.S5QZ-P13.01.0000.000;GASC PX 031.1D/27-ANX_.E_Epoxy;2153;A;2;1;2453;Axial;5,647;4,474;6,176;4,969;18,98;3462;1390;17;VT03159U;0,271;0,55;;46,21;67,83;3,8;;;;GASC2;1644;580;337;1360;552;29,4;16;22;Inclusive;n/a;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;6;6;yes;piece;1
GASC PX 031.1/2XN/DFC7A.TNNN;GASC PX;031.1/2XN/DFC7A.TNNN;n/a;finoox;251-1B2Y.245.3WW.S5QX-P13.01.0000.000;GASC PX 031.1C/27-ANX_.E_PC;2127;A;2;1;2453;Axial;4,033;3,11;4,394;3,446;12,65;3666;1390;18;VT03159U;0,27;0,55;;46,53;68,15;2,5;;;;GASC2;1644;580;337;1360;552;25,3;16;18;n/a;Inclusive;Inclusive;No;Yes;315;AC motor;60;X;;;;;;;;;;;no;no;D;E;Powder coated;7;6;4;yes;piece;1
