TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (R134a SC2);DX Evap (R134a SC3);DX Evap (R404A/R507 SC2);DX Evap (R404A/R507 SC3);DX Evap (R407C SC2);DX Evap (R407C SC3);DX Evap (R449A SC2);DX Evap (R449A SC3);DX Evap (R452A SC2);DX Evap (R452A SC3);DX Evap (R513A SC2);DX Evap (R513A SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GASC RX 020.1/11N/DDA4A.TNNN;GASC RX;020.1/11N/DDA4A.TNNN;n/a;finoox;251-1AYL.0YE.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/14-AN1_.E;608;A;1;1;1102;Axial;0,845;0,597;0,843;0,695;0,939;0,752;0,883;0,734;0,831;0,681;0,807;0,606;4,2;512;2000;6;VT03033U;0,035;0,26;D;44,48;65,61;0,5;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31N/DDA4A.TNNN;GASC RX;020.1/31N/DDA4A.TNNN;n/a;finoox;251-1CLW.0YE.3UF.00NN-R23.01.0000.000;GASC RX 020.1A/34-AN1_.E;1350;A;3;1;1102;Axial;1,542;0,843;2,064;1,262;2,105;1,239;2,067;1,267;1,919;1,167;1,487;1,087;12,59;1536;2000;10;VT03033U;0,105;0,26;D;48,91;70,38;1,4;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;19,1;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31N/FDA7A.TNNN;GASC RX;020.1/31N/FDA7A.TNNN;n/a;finoox;251-1CMS.0YE.3W3.S5QQ-R23.01.0000.000;GASC RX 020.1B/37-AN1_.E;1560;A;3;1;1102;Axial;2,37;1,51;2,746;2,004;2,851;1,986;2,771;2,004;2,651;1,889;2,326;1,496;11,17;1606;2000;10;VT03033U;0,107;0,26;C;48,64;70,11;2,2;;230V 1~ - 1.6kW;AY7.004217;GASC3;1484;580;234;1200;552;21,3;16;18;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;279;;;;;;;;no;no;F;E;Aluminum;7;12;6;yes;piece;1
GASC RX 020.1/11N/FDE7A.TNNN;GASC RX;020.1/11N/FDE7A.TNNN;n/a;finoox;251-1AZN.0YE.3UJ.00NN-R23.01.0000.000;GASC RX 020.1B/17-AN1_.E_Epoxy;852;A;1;1;1102;Axial;0,868;0,609;0,909;0,735;0,989;0,753;0,943;0,751;0,901;0,711;0,844;0,613;3,72;535;2000;6;VT03033U;0,036;0,26;C;44,2;65,33;0,8;;230V 1~ - 0.59kW;AY7.001473;GASC1;684;580;234;400;552;8,6;9,52;9,52;Inclusive;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;114;;;;;;;;no;no;F;E;Epoxy coated aluminum;7;24;6;yes;piece;1
GASC RX 020.1/21N/FDC4A.;GASC RX;020.1/21N/FDC4A.;n/a;finoox;251-1CL6.0YE.3UJ.00NN-R23.;GASC RX 020.1B/24-AN1_.E_PC;1467;A;2;1;1102;Axial;1,237;0,7;1,596;1,021;1,627;1,002;1,595;1,022;1,493;0,947;1,198;0,686;12,59;952;2000;7;VT03033U;0,069;0,26;D;47,83;69,13;1,5;;;;GASC2;1084;580;234;800;552;15,2;9,52;9,52;n/a;n/a;;;;200;EC motor;5060;1;;;;;;;;;;;no;no;F;E;Powder coated;4;24;6;yes;piece;1
GASC RX 030.1/11M/DFA7A.;GASC RX;030.1/11M/DFA7A.;n/a;finoox;251-1HVD.0YG.3UC.S5QV-R23.;GASC RX 030.1C/17-AL1_.E;1107;A;1;1;1104;Axial;1,52;1,11;1,556;1,296;1,724;1,348;1,598;1,339;1,544;1,265;1,489;1,13;6,33;1101;1250;7;VT03034U;0,027;0,27;A;43,45;64,79;1,4;;;;GASC1;964;580;337;680;552;12,5;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;12;4;yes;piece;1
GASC RX 030.1/21M/DDA7E.;GASC RX;030.1/21M/DDA7E.;n/a;finoox;251-1HXJ.0YG.3UH.S5QS-R23.;GASC RX 030.1A/27-EL1_.E;2210;E;2;1;1104;Axial;2,289;1,755;2,371;2,02;2,621;2,099;2,483;2,078;2,361;1,989;2,3;1,815;8,44;1829;1250;11;VT03034U;0,064;0,27;A;45,48;67,01;1,7;;;;GASC2;1644;580;234;1360;552;21,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Aluminum;7;4;4;yes;piece;1
GASC RX 030.1/21M/DDE7E.;GASC RX;030.1/21M/DDE7E.;n/a;finoox;251-1HXQ.0YG.3UH.S5QS-R23.;GASC RX 030.1A/27-EL1_.E_Epoxy;2454;E;2;1;1104;Axial;2,244;1,722;2,329;1,983;2,58;2,065;2,441;2,043;2,319;1,954;2,255;1,779;8,44;1829;1250;11;VT03034U;0,064;0,27;A;45,48;67,01;1,7;;;;GASC2;1644;580;234;1360;552;21,3;16;18;n/a;n/a;;;;300;EC motor;5060;1;;;;;;;;;;;no;no;D;E;Epoxy coated aluminum;7;4;4;yes;piece;1
GASC RX 020.1/11M/DDA4E.TNNN;GASC RX;020.1/11M/DDA4E.TNNN;n/a;finoox;251-1AYM.0YF.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/14-EL1_.E;729;E;1;1;1103;Axial;0,738;0,533;0,741;0,619;0,836;0,654;0,77;0,648;0,726;0,602;0,719;0,543;4,2;403;1500;4;VT03033U;0,02;0,16;B;40,68;61,81;0,5;230V 1~ - 0.59kW;;;GASC1;684;580;234;400;552;9,3;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BA05750350230;H02LA06100240230;;AY7.001473.1;1;100;575;1;75;610;no;no;D;E;Aluminum;4;16;4;yes;piece;1
GASC RX 020.1/31M/DDE4E.TNNN;GASC RX;020.1/31M/DDE4E.TNNN;n/a;finoox;251-1CM3.0YF.3UF.00NN-R23.01.0800.000;GASC RX 020.1A/34-EL1_.E_Epoxy;1960;E;3;1;1103;Axial;1,45;0,813;1,888;1,194;1,926;1,173;1,89;1,197;1,766;1,106;1,403;0,796;12,59;1210;1500;8;VT03033U;0,061;0,16;C;45,11;66,58;1,4;230V 1~ - 1.6kW;;;GASC3;1484;580;234;1200;552;20,9;9,52;9,52;Inclusive;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H04BB13901000230;H02LA14100560230;;AY7.004217.1;1;100;1390;1;75;1410;no;no;D;E;Epoxy coated aluminum;4;16;4;yes;piece;1
